airline_sentiment,text
negative,@united Please stall flight 1535 out of ORD. I have to get to SNA tonight.
positive,"@united Thanks, I will!"
negative,@united can you get a gate for UA4727?  Turrible.
negative,@united is the worst airline. Lost my luggage delayed my flights and has been very unaccomidating
neutral,@united Flight 280
neutral,@united Flight 1640 (N33289) arrives at @FlyTPA following flight from @iah http://t.co/RvCDA2nnme
positive,@united is officially my favorite airline. They have created magic for me all day!!! #friendlyskies #careyon
positive,"@united we had a wonderful flight attendant named Leah that was with us from lga to den, then den to anchorage!"
positive,@united I was protected on that flight by gate agent Kerry at LAS. She also did an excellent job getting me to my destination today. Thanks!
neutral,"@united yes, you can. I will DM."
positive,"@united Your staff, both on deck and in the cabin on UA768 SFO -&gt; BOS were exceptional today. Please tell them well done :)"
negative,@united I mean is there a real live person somewhere I can go and speak to at Newark post security?
neutral,@united hi! I just bought a flight with united through ebokeers from Paris to Miami. Do I have any chance to check that everything is ok?
neutral,"@united no worries, I think it’s under control. (the emails are keeping me informed)"
negative,@united i have talked to them...on standby for tomorrow but it doesn't look good. May have to stay here till Friday &amp; that's not guaranteed
neutral,@united ^JT is the ORD to PHL flight at 9:15 PM (CDT) delayed? DM I'm kinda hoping not to be stranded at ORD either.
neutral,@united what happened to flight status map? It was so cool..
negative,@united plz don't advertise wifi if it's not gonna work thanks #worstflightever
neutral,@united Hi guys. I submitted a request for ticket/hotel reimbursement for a delayed/over night stay coming back from the Dominican. Help?
negative,"@united Apologize to the President. Once those employees blamed him, I heard it repeated 20 times."
neutral,"@united yes, I want to complain. Your coworker was neither. Is there a customer service point airside?"
negative,@united A change fee of $200. Same exact flight from ATL-HOU is $165. Why a charge of $574? The math doesn't add up.
negative,@united hello. I'm overseas &amp; my bag is lost. I can't call customer service but can you help me?
positive,"@united landing in anchorage, then on our way to fairbanks! http://t.co/FjkvQMbmaS"
negative,@united I knew I should've flew @VirginAmerica lol
negative,"@united, UA1641 EWR-MCO 17 Feb wifi never connected but allowed me to purchase access twice &amp; charged me. Who do I need to file claim with?"
positive,@united thnx
positive,"@united 
I will admit, you've been rather good to me over the years.
You've still got me hooked.
(for now!)
Peace."
positive,@united it's kinda funny. No worries.
negative,@united My feedback and concerns via your site aren’t going to improve my poor airport experiences.
negative,@united just dropped bags at Newark. Your desk guy was the rudest customer facing person I have met. Even my two children were shocked!
positive,@united great. Looking forward to your response to my DM then
negative,"@united It was quite enjoyable. 😊 

Except now he's stuck on the runway in Houston. 😕"
positive,@united thank you for getting our daughter home when @americanair Cancelled Flightled all their flights to Nashville
positive,"@united thanks for the re-upgrade to 1st class. It may be a 45 min flight, but it is appreciated."
negative,"@united makes total sense, except flight wasn't full :) I've got empty seats around me &amp; overheads were more than half open when I boarded."
neutral,"“@united: @ItsAaronChriz Sorry to hear about your flight. Do you need help reFlight Booking Problems?”

👎"
negative,@united now we are trying to get to San Juan from Chicago O'Hare. Having lots of problems. May get a standby flight.
neutral,"@united Alright, thank you. Is there a page that says the routes you have for each aircraft? Specifically the 787."
negative,"@united well sorta....we r trying to get to Aquadilla, PR but only 1 flight goes there a day. All are booked. UA Cancelled Flighted our flight to NJ"
negative,@united why does it cost $547 to change the city of origin when the same flight on http://t.co/8FMZZOltv9 costs $165 #customerservicefail
neutral,@united I just sent a long note with some suggestions. Thanks for getting back to me.
neutral,@united there are at least 3 of us on UA1564 at ORD waiting to deplane to catch UA4232 to CLT. Any chance of waiting to last second for us?
positive,@united @parryaftab done thnx
negative,"@united, I'm still frustrated I gave up my seat &amp; the promised Travel Certificate was withheld w/o explanation. http://t.co/KvfwajVViD"
negative,"@united gotta love giving up 1st class upgrade b/c flight delayed, to get another flight (also delayed) just to ensure I make my connection."
neutral,@united PTY to PIT via IAH
negative,"@united Not sure what happened @ MSP yesterday, but VERY UNHAPPY my bag was not only delayed, but sat at MSP for 8 hrs b4 delivery @ 2:30 am"
neutral,@united Is it possible to redeem miles for one part of a round trip itinerary without having to book two separate reservations?
negative,@united I'm flying @AmericanAir on the way back. I rarely fly them but let's see if they are any better....
neutral,@united sent
negative,@united it's almost like we're punished for living near a large metro area. EWR was top ranked for domestic delays. Not good
positive,"@united Honestly, I stopped trying to report things via website. Now I just laugh. Flights work. Miles accrue. I'm sure it's just cosmetic."
negative,"@united thanks. Weather is understandable, but when every single domestic flight is delayed because of inbound int'l flights, it's crazy"
positive,"@united #1007 Houston-Bogota boarding again, safety first, it seems the mechanics fixed the problem faster, good energy to fly home/family"
negative,@united no tag number. Luggage was taken off the weigh scale and appears to have been sent off on conveyor belt without any tag...
positive,@united have reported it.  Still in Istanbul at the moment apparently.  On the other plane haha.  Hats off to the pilot!
neutral,"@united, Understandable. I did try Flight Booking Problems several times for 2 passengers &amp; got the messages I mentioned before. As for the agents price???"
positive,"@united hey awesome!  Thanks for the reply, will be filling the form out! @AmericanAir"
negative,@united flying tomorrow from mexico to US. Mileage tkts dont show 1k status. Help
negative,@united correct date is 2/11/15!
negative,@united 3 phone reps. None could see I was rebooked so missed that flight.Told to go standby for a nonexistent Late Flightr flight. Did I hurt you?
negative,@united a report was filed with the airport police on 11th and 12th February-I have the police case number if required
negative,"@united can't DM, you're not following. LLY144. Rebooked on #UA1516 but still need seats."
negative,@united the supervisor on situation- Stacey took all our details-no claim number given to us
negative,@united 1 hour since boarding began and we're still sitting at the gate.  #UA507
negative,@united Tks for reply. PSP employees blamed Late Flight departure on POTUS when main reasons were DVR flt Late Flight &amp; insufficient ground crew to handle
negative,@united took this one just for you. Not a window. Also not fun if you get motion sick. http://t.co/m81rV0blxs
positive,"@united they are all -pilots, FA and ground personnel doing a great job. Weather is to blame... Who do I talk to about that :)"
negative,"@united I find this text funny, considering we are still sitting here because 2 seats need to be changed out. http://t.co/LoLuWfCi11"
negative,"@united #1007 Houston-Bogota with an engine problem, mechanics trying to ""fix"" the problem, safety first, better to change the plane"
negative,@united thanks! Makes sense. Just annoying that it can't be determined better.
neutral,@united patiently drinking and tweeting about my experience
negative,@united you have yourselves to blame for giving me the time to get drunk and tell you how I feel about your overpriced sub par airline
negative,@united idea: if u don't want us to be frustrated don't Cancelled Flight flights because your crew overflowed a toilet. Get a plumber
negative,@united I will be patient in my luxurious middle seat on my next delayed flight
negative,@united I will be patient as your agent explains how you have me booked on a new flight for 6:18 when that plane doesn't arrive until 6:07
negative,@united please help trace my luggage which was put through without a name tag on 11 February 2014 at Albuquerque airport
negative,@united be patient while I let this string of tweets go out showing people you are bad at your business
negative,@united I think you guys had a half full flight at 4 so you held our overbooked 3pm flight to fill the other one then Cancelled Flightled mine
neutral,"@united's in-flight promo on their TV's includes Brian Williams. Tough to edit that quickly. Not a complaint, just an observation."
negative,@united thanks I'll fill out the form that no one reads or responds to.
negative,@united I was patient when they refused to switch my flight Bc of my checked bag then Cancelled Flightled the one I was on
negative,"@united   sent DM last week, re: suit regarding your error. No response was given. Please Answer DM or tell me who to send suit to...."
positive,@united Will have to try standby in Denver tonight or will have to Cancelled Flight father son trip till next year. Thx for trying.
negative,@united I wrote to you but got nothing.and I am out of US .It is very simple thing.Will ypu provide compensation for your delay?
neutral,@united How many 787s do you currently operate and what other aircraft do you operate?
negative,"“@united: @qlyss8 We don't want our customers to be frustrated. Thank you for your patience. ^JT” A lovely sentiment, but not a $180 one."
negative,@united 4 different departure / arrival updates for UA304??? In 1hr. Please!
negative,@united nope. Really. No window at all for 10A. 10F has one. 8 and 11 has one. None for 10A. So sad...
negative,"@united #vegan meals can be more creative than noodles, peas, and zukes. Non-vegan yogurt is not acceptable for a vegan. Can you do better?"
positive,"@united well, thanks for not charging me for switching my two Cancelled Flightled flights anyway. That was pretty nice. #stillmakingmepoorthough"
positive,@united well it IS John Hughes' birthday. But I will stick w the plane &amp; hold off on trains &amp; automobiles. Gate workers are doing well.
negative,@united - my son left his tablet on plane.  Am out of country and can not call easily.  Is there an email to contact?
negative,"I will, if you can show me where this new program is beneficial to your longstanding loyal consumers... @united"
negative,@united all i hear is blah blah blah ....you shoulda used that $400 to buy a @burningman ticket instead. &amp; ill be driving there not flying
negative,"@united yes, supposed to be here by 6PM. I have a Board Meeting tomorrow. Fingers crossed."
negative,@united thanks for not letting me switch flights Bc I had a checked bag then Cancelled Flighting my flight forcing me to take another 3 hrs Late Flightr!
positive,@united thank you! Love united!! Have 4 flights today!
positive,"@united Just did, thanks for checking! :)"
negative,@united just informed you don't reimburse for issues due to weather. this is why your flights keep getting Cancelled Flightled--Thor hates you
negative,"@united Midland couldn't get our bags to connect on our Intl flight to Sydney, so have to get em in LA &amp; check em in there."
negative,@united this may be the last time I fly your airline.
negative,"@united Is your company motto: ""I do not care!!!""  I heard several times from your employees to your clients in the past week.""  #idonotcare"
negative,@united you should tell that to the staff at LAX then. I boarded group 5 at the very end of the queue as a Gold member. Thanks for nothing.
negative,"@united Missing crew, passenger doc problems, frozen toilets, and now we're off the plane. Give me my money back.  UA3466"
positive,@united Fantastic job by your people today on ua22 from Dublin. A jam packed plane but the crew was wonderful!!
negative,"@united there was 20 min to departure, no one waiting. On being pressed ground staffer threatened ""do you want to get to SF today"" #fail"
negative,@united flying lax to Sfo and system won't let me check in. Your site tells me to do it through @AirCanada and they tell me through you.
negative,"@united and btw, the @Virgin and @JetBlue managed on time departures same time same destination- &amp; wouldn't take away a 9year old kids bag!"
positive,@united can I just go ahead and live in your premium cabins? I'm in heaven now en route to LHR
negative,"@united feeling poor on the church-mouse level here, 180 dollars is enough to make a grown man cry. I'm not a grown man but tears happened"
negative,@united sure but the plane is an hour Late Flight! Your ontime departure ship sailed away a long time back!
negative,@united UA6002 MLI-&gt;DEN. Will miss connection UA3530 DEN-&gt;YEG due to delay.
negative,"@united How come you are the ONLY airline, of 90+ flights last year that makes me check my carry-on. Not even gate check...baggage claim?!?"
negative,@united I had to change airports to actually get a flight out when my flight from FAY was Cancelled Flightled twice. $180 taxi ride to RDU--reimburse?
neutral,@united it's operated by united as it's a heathrow-Newark flight
negative,@united yes of course I have.  Is this how you treat customer with no recourse?
negative,@united I will be stunned if my bags are in Hartford with me.  The ORD ground crew only had an hour to move my bags 200 yards
negative,"@united Can someone assist me with my DM's? Waiting 1 hour on phone, 2 hours on Twitter."
negative,"@united Flight was overbooked! Was offered voucher to wait &amp; take another flight. Gate agent switched me over, retracted voucher offer."
positive,@united thank you!
positive,@united Thanks - it's very helpful to understand that the reduced price seats that are sold at check-in have priority over the certificates.
negative,@united As a Million Miler I've been delayed plenty. NEVER in the amateurish way@SilverAirwsys does it. I'd be embarrassed to be affiliated.
negative,"@united airlines claims to have a low fare guarantee, but they won't honor a lower fare that I found."
negative,@united Another delayed United flight. I should not be this surprised or upset. I'm mostly disappointed I have to Cancelled Flight my trip with my dad
negative,"@united still can't dm, it's LH7631 on 21/2/15"
positive,@united Thank you Margo at Houston's Bush Intercontinental for getting me home earlier.
negative,"@united, I booked our flights w/ @WestJet. I saw the same prices each time I searched. It wasn't the least bit frustrating. #customerservice"
negative,"@united, Thanks, but I didn't want to see 'we've started your flight search over' OR 'the fare &amp; rules for this itinerary has changed' again"
negative,@united my cats flight was delayed 1+hour  she will be arriving to Hawaii after 5 &amp; I won't be able to pick her up until tomorrow 😭
negative,"@united I did not, my mind was on getting to the next flight."
negative,@united now you've lost my bags too.  At least nobody has done anything to help out.  This is absurd.
negative,@united What's up with the reduction in E+ on 737-900s? 1K who can no longer confirm E+.  Forget upgrades - just want legroom. #unitedfail
negative,@united offered me a voucher to switch flights. Now voucher offer doesn’t exist &amp; the gate agent switched me to a delayed flight!
neutral,@united when southwest did this to us -- a mechanical problem at least they gave us round trip vouchers. Will you step up to the pLate Flight too?
negative,@united I usually like flying with you guys but $200 fee to use my credit seems ridiculous #notcool #exhorbitantfees
negative,"@united Thanks, but not so much the missing bag as the nonexistent staff at this apparent remote outpost (busy airport for city of ~1M)."
negative,@united my friend lost luggage on flight 1547. What to do?
positive,"@united sweet, follow back and I'll get the dm off"
neutral,@united my reservation were changed so that I can longer make my connecting flight. How can I change this without incurring a fee?
positive,@united all good! Next flight was a little delayed so it all worked 👍
neutral,@united flight 5431
negative,"@united Just boarded UA1297, was refused from carrying overhead bag as no space, in plane now with loads of space #fail #customerexperience"
negative,@united get your act right! You just lost customers because your staff wouldn't let us take our approved carry-on on a half empty flight!
neutral,@united @ShulemStern @gg8929 Raise a dispute with your cc provider and they will hopefully clear it for you.
negative,@united Held up for almost 45 minutes and then promised free movies and it didn't work and neither did the wifi that was paid for. Boo :(
negative,"@united Nice ""partners"" you have. The delays keep increasing every 20 min @FtLauderdaleSun @orlandosentinel http://t.co/1AtEafnC6R"
negative,@united UA1740 just admit you have no clue when flight will leave Denver. #unfriendlyskies
negative,"@united yep, after long waiting on the phone we managed to rebook it. Hope it will be a pleasent one. Thanks for ur help."
negative,@united Just had the worst experience ever flying with you
negative,@United UA1740. As the inbound flight dep time gets closer you push it back 15 min. You've been doing this for 2 hrs.
negative,@united why is my flight from mke to ord getting delayed? Our gate attendant is not communicating!
negative,"@united my plane sounds like  a DJ  scratching is this normal? If so, will this eventually be a new entertainment fee."
neutral,@united chase says no referral bonus. Thanks.
negative,"@united how can i trust United with future Flight Booking Problemss when a confirmed, ticketed and purchased ticket is Cancelled Flightled after the fact?"
negative,@united rebooked.  This one is Late Flight too.
negative,@united 2nd Late Flight flight today
negative,"@united if u miss first leg of ur flight, you have to pay hundreds of $'s just to keep your second leg? How much to keep my earned miles?"
negative,"@united 3586 from IAD to BUF.  Incredibly loud, and like a third world 70s inner city metro bus.  #lowstandards http://t.co/m67WnBglXQ"
neutral,@united Cancelled Flighting. bought a ticket for a friend but cant get the credit under my name
positive,@united Boeing 777 Star Alliance short finals @Heathrowairport 27L on an amazing winters morning #777 #Avgeek http://t.co/owMaXOyEhZ
negative,@united 16 days for one flight and 8 for the other (roundtrip).
positive,@united I am blown away by stellar #custserv !! Thank you &lt;3 http://t.co/JOrEScfb4x
negative,@united your overall experience of flying is not friendly
negative,@united a good start would be  to warm the plane before the departure time so the flight isn't delayed due to frozen water lines.
negative,@united annnnddddd I'm going to lose my first class seat on the flight they shuffle me to
positive,@united you have the nicest gate attendant at Newark airport gate 101 right now. Multiple delays and she is still pleasant with everyone.
negative,@united 6 hour mechanical delay...killing me
negative,@united every time I check a bag with your airline I'm confident I will be wearing the same clothes for 3 days.  Please prove me wrong.
neutral,@united trade show! Come by both 130 for awesome deals on #sunkist and @webbernaturals! $$ http://t.co/1L9sCWPhph
negative,@united. Thanks United for the no running water and Late Flight flight from Grand Rapids to Denver
negative,@united KN: not allowing me to bypass the receipt # on the refund request form. Never received receipt email. charged http://t.co/Cju102xP2k
neutral,@united please help! Left my iPad Air 2 on my flight from NYC to Paris yesterday and can’t get in touch with anyone locally. What to do?
negative,@united When will that happen? It really confuses when the 1st content to come on the 6in screens is about how technology forward United is.
negative,"@united you mean like my mailing address and rate? By the surliness of my United ""coworkers"" I'm guessing our benefits aren't great."
negative,@united I already sent feedback and your reps are who told me about the priority. I'm speechless at your system
negative,@united just because you are a monopoly in @flySFO doesn't mean you treat your frequent fliers like crap.
negative,"@united Yeah, bag is on the way. As per usual.  I'm actually getting used to getting it delivered to me, its kind of nice in a sense."
neutral,@united How much is baggage check for International flights?
negative,@united Why does it take 4-6 weeks for a new MileagePlus Premier card to be sent out? #stillwaiting #doesntfeellikestatusyet
negative,"@United Wonder why people hate dealing with airlines?  Ridiculous and inflexible ""policies"".  I need a phone number and a resolution.  Now."
negative,@united LE2V9D pnr numbered flight. The first leg is Cancelled Flightled due to bad weather in iatanbul. How can i make a reFlight Booking Problems
negative,"@united (2/2) It suggests that if can't confirm cert at time of Flight Booking Problems, I should assume that it may never clear. Didn't used to be that way"
positive,"@united Thanks for explanation. It seems like an odd incentive structure, tho, because it dramatically diminishes the value of the certs."
neutral,@united #sfo #ClearVision #TV4U @ United Terminal SFO Airport http://t.co/Q9bYn9pCTf
negative,"2/2 @united You don't really care about our comfort, you care about profitability. That's fine, just own up to it. #unfriendlyskies"
negative,1/2 @united Just be honest with your customers. The new seats are designed to fit more rows on the plane. More rows = more money.
negative,@united missing this wedding because of these delays would not be cool
negative,@united Designed to deter people from forgetting things or to provide more storage space? The article says the latter #unfriendlyskies
negative,"@united what do you think missing meetings is worth?  A flight voucher?  I fly all the time, so what would make it right?"
negative,"@United and @DirectTV. Not to pile on, but it's time to update your in flight TV package. http://t.co/Lug4MFVWsA"
negative,@united  why is it so hard to add in meal preferences AFTER I booked tickets? I forgot to do it &amp; it's now impossible! I even called.
positive,@united it's amazing really.
negative,@united Learn to hold connections. They texted me there is another flight Late Flightr - my connection hasn't left and were pulling into the gate
neutral,@united if I have credit from a flight I Cancelled Flightled does the new flt have to be booked by 1 yr from orig purchase date or flown by that date?
neutral,@united this is me and my partners first trip to #NYC I bought the tickets at the same time Please seat us next to each other ConF# ILC0HP
negative,"@united its ridic you cant transfer credit, you have my $400 &amp; youre taking $200 of it for Cancelled Flightling. Atleast let me keep the credit damn"
positive,"@united thank you. There was one here a few months ago, but none now. Weird you don't have a club in one of the busiest airports in the US."
negative,@united a plane took our gate and now we're just waiting in a lot at DIA
negative,"@united I have a flight from omaha to chicago (en route to NYC) and they are seating me and my partner separate, please fix this res# ILC0HP"
negative,@united - with airport self checkin your only option I'm now your employee. Training was a bitch. Send my paycheck asap.
negative,@united on your website it says 10 days. Its been 16 and counting.
neutral,@united one last thing....United club crackers...nabisco?? Where are the Pepperidge Farms?
negative,@united the lack of customer service is astounding https://t.co/72RMpkOGwu #2daysofhell
neutral,"@united ha, this happened 10 years ago. i haven't flown with you since."
negative,@united my bag is a few days Late Flight to me and this is like the 3rd time in the past couple months.  Where my free miles at?!
negative,@united of course but they were just as helpless as everyone else .
positive,"@united Flew ORD to Miami and back and  had great crew, service on both legs. THANKS"
negative,@united 65 and 72 year old flying to Tokyo for vacation both with bad knees and this happens https://t.co/72RMpkOGwu @cbcallinaday @CBCNews
negative,@united another week has passed and I hoped that I would have had a response by now
negative,@united there's no reason it should take 7-10 days to respond.
negative,"@united yes, I know that. The question is ""why is that still the case""? #fail"
negative,@united There are Exit-Row window shades in approx 11% of the windows  of your RJ-145s. &lt;--a frequent flyer http://t.co/aOEaeszDLX
positive,@united no worries Your customer service gets a bad wrap but just spoke w agent who saved me huge amounts of time &amp; apologized for yesterday
negative,@united There is no excuse for leaving a minor to spend the night sobbing (9 hours) in a plastic chair. UA's actions? Terrible. # united
negative,@united perhaps you could fix this? https://t.co/72RMpkOGwu and this https://t.co/901HLNgBtX #answerthis
negative,@united My wife and I will be sharing this dreadful experience. Don't pretend UA cares about young girl traveling alone # United Airlines
negative,@united JH: going to process my refund for wifi. its asking for a receipt #? I never received an email- you guys just whacked my credit card
negative,.@united Don't post a link to an article that verifies the initial complaint with 20+ comments saying the same thing. @harris
negative,.@united Will breaking them in somehow make them longer so that they don't cut off the circulation in my legs? #unfriendlyskies
negative,"@united But why do people with no status get to buy an upgd at much less than cost ahead of premiers with earned ""confirmed"" certificates?"
neutral,@united You please do not burn my dreams !!!  #burningman tickets sales today.
negative,"@united worst agents in US at Ft. Lauderdale Airport; passengers stand in line, getting status alerts &amp; still didn't make an announcement"
negative,@united Can we get Any (free) upgrade because all the problems we've had? Our reservation is MKWLKR.
neutral,@united can you send a personal plane to get us out of school? It's icing and we don't want to get stuck here @ansleyhutson @emily_donneIIy
neutral,@united to start 3xweekly #B737-900 flights from #NewOrleans to #Cancun on between 9MAY-5SEP #avgeek
neutral,"@united FAIL set to song. http://t.co/Axpn28xiQB ""United Breaks Guitars"" &lt; LMAO!"
neutral,"@united yes, would love an upgrade or voucher,  please give me a call 9148445695"
neutral,"@united how come it's cheaper to fly to BKK than NRT even though to get to BKK you take an extra flight, from NRT!"
negative,@united This is with regard to a flight from a couple weeks ago. I'm very frustrated with your policies &amp; expressing that.
negative,"@united thanks for reaching out. The seat was hard, not enough cushion. OK for short flight. BTW, UA6465 flight and crew were great!"
negative,"@united surprise me.  Otherwise, the flight is over and I don't have a good feeling about your airline."
negative,@united we have been told that it's lost...you guys don't know where it is
negative,".@united: Just landed. A day Late Flight with almost no sleep, but here. I feel sorry for the woman I consoled who's mother died during the night."
neutral,"@united 6344,6373, Sfo-Dfw also 1576 SFO-ORD"
negative,"@united Disappointed,UNITED did NOT feed small CHILDREN on a 5 &amp; half hour flight (Honolulu to Los Angeles), Appalling, ESP food waspaid for"
positive,@united Thanks to supervisor Miriam who provided me with great customer service. #finally
negative,@united Filled out at the airport as part of a long day made longer.
positive,@united -today the staff @ MSP took customer service to a new level. My father passed away last night &amp; you helped me get home today! Thanks
negative,"@united UA6255 delayed out of #winnipeg because the plane was ""frozen""! #fail Will I make my connection on UA1059? #tightconnection #Denver"
negative,"@united  delayed about 8 hours because of missed connections due to mechanical issues on 1st flight. rebooked, but please call me 9148445695"
neutral,@united flying out of STL Saturday where they are expecting ice &amp; snow. When should we start looking for travel waivers? Thanks!
neutral,@united Can I add miles from my January Air China flight to my MileagePlus account?
negative,. @united you know your updates every 6 hours telling me you don't know where my bags are is also equally irritating. #ColtsMissingBags
negative,@united you are lightyears ahead of the security control at Newark airport. They wasted 40 precious mins w bad efficiency. #frightening
positive,"@united Great, thank you!"
neutral,@united I submitted a status match last week and have not heard back. Im a delta customer looking to switch to United. Please assist.
negative,@united 1627 to Montego Bay going back to gate bc 1person was Late Flight? Awful service for all of who came on time!!
negative,@united right... Are you guys charging for the air we breathe next?
neutral,@united did not get names...Dallas flight and Chicago
negative,"@united in other words... sorry, not sorry.  Plenty of other airlines... and I travel A LOT."
negative,@united delayed agAin by United. Gate agent was borderline rude when I asked her a flight status question. What is happening to United?
negative,@united I need to speak with a supervisor or someone who is #willing to help me use a credit I have ASAP.  #letsworktogether
negative,"@united just give up.  Your service is terrible.  If I wasn't forced to use United on certain routes, I never would."
positive,@united Club in Denver is dope 👌
negative,"@united I'm checked in, agent wouldn't tag my bags at 7am. Now I'm standing in line hell."
negative,@united we are never going to get to out gate at this rate.
negative,@united this is getting ridiculous. Now we're missing our connection.
negative,@united Couldn't use the confirmed upgd cert you gave me b/c you decided to sell anyone a biz seat for $299. Why do you bother giving them?
negative,@united I locked myself out of my account and needed access to book a flight.
neutral,@united @annricord January 15th.
negative,@united any chance you can troubleshoot check ins at @FlyYOW ? We're at 20 minutes per person.
negative,@united how on earth could you close the united club in Atlanta? What a major #fail at an airport of this size
positive,@united sorry to hear outsourcing plan. Boise is best staff/cust service in the country. #boise
negative,@united -LGA-ORD UA 711. Did not get agent name. Argument over baggage policy.
negative,@united yes staff were rude  and unempathetic. I needed jacket and tablet by 4 got at 11. If u take carryons cause plane full.don't lose em!
negative,@united Monday evening.
neutral,"@united is pri boarding for ""Active Military"" or only ""In Uniform?"" 90% can't travel in uniform for OPSEC reason, even on official travel"
neutral,@united leisure. Military personnel for safety reason R highly recommended to not travel in uniform
negative,@United ticket counter Masters out of SMF not very helpful.
positive,"@united cool, thanks."
negative,@united my baggage is in shannon now so never mind u can work on giving me some $$$ back now
negative,"@united if you're listening, why are you the lowest provider of inflight wifi? Get with the times!"
negative,@united that's funny because I emailed @VirginAtlantic once and they found it hadn't left LHR. In the mean time stuck with no bag in NYC!!!
negative,"@united is the biggest joke of a company,I will never fly with them again! 3 days now waiting for my bag, they don't even know where it is!"
negative,@united why haven't you updated that flight 4411 is delayed? Super frustrating
neutral,@united How long can I expect the formal response to take?
neutral,"@united Hi, I am flying domestic first from SEA to HNL. Can I pay to use the lounge before I fly or this is just for international? Thanks"
neutral,"@united Do you mean ""fortunately""? I don't want my flight to be affected! 😉"
neutral,"@united volumes, profit up http://t.co/pKfI9bTtzf #aviation #aircargo http://t.co/BBj6kMTYUl"
negative,"@United what the...? I go into the ""all airlines lounge"" w/ my Star Alliance Club Card in BCN only to be told Star Alliance isn't accepted"
negative,@united Y do U not reply to customer refund forms??????????? #unitedairlines
negative,@united &lt;&lt;&lt;&lt;&lt;------- shoddy customer service. Of no use whatsoever. #unitedairline
negative,@united &lt;&lt;&lt;&lt;&lt;&lt;-------- do not reply to emails?
negative,"@united it has now been 16 days since i applied for my compensation?

Y have i had no correspondence"
neutral,@united it sucks not having the money to book a flight to see the love of my life. 2600 miles away.
negative,@united submitted customer care form Jan 7th. Still no response. A little longer then 7 - 10 business days
negative,"@united @laurasbrown5 Clearly United lives in the stone age. Some people don't need computers, make your site better for tablets and phones"
negative,"@united @laurasbrown5 What does ""dealing via email"" have anything to do with a crappy web form that is not made for mobile devices"
neutral,"@united speaking of my flight, skateboards are allowed as carry on bagage right? No extra payment needed?"
negative,"@united @PGATOUR @NTrustOpen Next thing you know, United will believe they are above the DOT and take them to court. United is anti-consumer"
negative,@united @PGATOUR @NTrustOpen I read that last hashtag as Go F United. Makes sense since they F us by Cancelled Flightling ticketed reservations
neutral,@united The link in the message I was replying to. #3thparty #ITproblems
neutral,"@united Hi, I read there are weather warnings on the East Coast of the US. Would a flight from LHR to SFO be affected?"
positive,@united You delayed a connection for customer service today now I'll be able to pay my final respects to a dear family member. Thank you :)
neutral,@united am I allowed to bring a duffle bag and back pack as my carry on and personal item? Flying out of NY
negative,@united @gg8929 I'm sorry United isn't able to keep its word 'cuz their IT is totally inadequate but they still says it's a customer fault!
negative,@united How can you not know where my bags are?  You knew where they were 6 hours ago. You are killing me!  Worst service. Ever.
negative,@united Stop pretending you care about the welfare of my daughter. United Airlines had the opportunity to help n failed # United airlines
negative,@united I have received one previously on the 11th having checked. Odd as you said there was no complaint associated with my e-mail?
negative,"@united ok, I have that, pretty sure I had it before too but will wait and see what happens...."
negative,@united Checking tracing information. You got 2 numbers wrong in my phone number &amp; how did a turquoise duffle bag become a black laptop bag?
negative,@united  treats service members like crap never flying again with them #UnitedAirlines  @CNN
neutral,"@united Thanks. UA1121, DEN, 40 min on tarmac."
negative,@united What is the point of a UPC code on checked baggage if you can't tell me where my luggage is? Vacation- day 3: trying on swimsuits...
negative,@united why are your SFO-&gt;BOS nonstop flights not competitively priced with those of JetBlue and Virgin? $179 vs $324. Identical times.
negative,@united how come I have no baggage updates.
negative,"@united Thanks for your response. Bags came, but it was a long wait and priority tags weren't honored at all. Disappointing"
negative,@United @UnitedAirlines and the hits keep on coming. http://t.co/44ZHmfDIW6 #unitedfail #unitedwithivy
negative,"@united hi JH. Yes please. Since I lost almost a whole day on the way out, could you help me change my return for one day Late Flightr?"
negative,"@united 3 hrs searching for flts, find 1 on site &amp; can't book the $ offered bc 1 seg isn't really available. #lies #falseadvertising"
negative,@united next flight? Don't think I'll be spending anymore money with you guys ever. It was that bad.
negative,@united are my bags here yet?  They were at Palm Springs airport.  I was at LAX.  How come I beat my bags here.
negative,@united why couldn't you have changed the tire of my delayed UA1127 flight when it arrived instead of waiting until boarding?
negative,@united A generic form with tons of fields asking for info you already?  Expected more as a premier platinum. Another #servicefail
negative,"@united, wtf is your username and/or email addr signin STILL unavailable? Been trying to login since Sunday"
neutral,"@united I am flying from msp to dxb, my child will turn 2 during the trip do I have to buy a return ticket for my child?"
negative,@united I want my bags. There is vital equipment in there. You are royally screwing me. I'm cranky and want an update.
positive,@united you guys have such big hearts.. keep up the good work
negative,@united Flight 512 had sime of the rudest flight attendants. I was run over by the drink card and had a flashlight dropped on me. #noapology
negative,"@united I am VERY disappointed with @SilverAirways as your partner. No communication, 2 extremely Late Flight flights. Really, all around horrible."
negative,"@united unless it's on you guys, im good."
negative,@united are the miles going to be restructured? Help a silver status brotha out! I thought I was winning with you guys until today lol
neutral,"@united even with the multiplier the ticket price will still never equal the amount of miles you travel, even for transatlantic flights!"
negative,"@united missed connection, wrong city, bags at Palm Springs, but not at hotel. I am seriously tired of being treated this way."
negative,@united Where are my bags!!!  They weren't in LAX like your promised.  9 out of 10 things today were a mess today because of you.
