labels,features
positive, thank you for listening to my compliant and doing the right thing appreciate you working with me
negative, we ve been here since am and you ve cancelled flightled our flight twice
negative, no chance wait in ord all afternoon for another flight after you screwed me hold 
negative, ua can wait for me m on the ground trying to get to the gate after we were moved to this is crap 
negative, from mex nrt dates tbd but m getting to usd difference in my quotations through september when compared to mex bkk
neutral, fails again saves the day 
negative, better just keep connection from ord to fwa that boards in ten minutes open until get off the plane that just landed an hour late flight
negative, is there united gold number ve been on hold minutes and think may be lost in nowhereland have gold reservation help 
positive, great m ready to go home 
positive, wow you even answered back awesome that customer service usairwaysfail
neutral, it not my first time flying to the us have medical info looking for practical like my adapted seat cushion allowed on 
negative, noooooooooooooooooooooope 
negative, oh we are sure it not planned but it occurs absolutely consistently it usually the only yyj flight that cancelled flightled daily 
positive, outsource it all united airlines your customers are just loving you for it outsource outsource outsource 
neutral, hi im flying sfo lax sal clo my connecting time in lax is m is it enough time do have to collect my bag and recheck on av 
positive, thank you you need to follow back tho otherwise can dm you x
negative, it not getting any better d suggest you get senior manager to this gate then retrain these gate people
neutral, states faundation was by faith judeo cristian it was by ideologias a 
negative, nothing like supporting your own mechanics and maintenance workers instead united puts out video of timco doing wifi 
positive, just sent thanks 
negative, already missed connection ugh
negative, sure show video of your outsourced favorite timco who has knack for doing substandard maintenance work on aircraft 
negative, how do formally complain about your customer service handler who misconnected me was denied boarding amp now lost my bag help 
negative, there are lot of unhappy cold people on the bridge in freezing temps for an hour not given any info 
negative, flight iad sat we re on the outdoor track for an hour
negative, seriously it no wifi on hr flight from cle sfo you re the only airline out wifi and pls no unwind bs 
negative, would not be able to rebook me to get home any sooner than now hr delayed flight linesforever customerservice fail again
negative, you re the reason this whole travel experience has been nightmare
negative, what pointless tweet at least asked me to follow them to try and resolve
negative, that not even an apology
negative, that cool now what 
negative, seriously it no wifi on hr flight from cle sfo you re the only airline without wifi 
negative, boarding this attendant took his shoe amp sock off at the desk and showed other agents his foot so gross vpym mv
neutral, are you able to see if there are seats open on another flight 
negative, unitedairlines so is it pm or ord abq can even take walk without missing change 
negative, hopefully my baggage fees will be waived tomorrow when actually get on flight as well as compensation for my hotel room
negative, either is fine however plundering my hard earned dollars is not fine 
neutral, hahaha at least they gave a refund 
negative, your sfo yyj fight is cancelled flightled several times each week why even bother 
negative, and now while waiting for new pilot the door on plane broke why am global services status on an airline that unsafe stunning
negative, how do get reimbursed for hotel and taxis for the cancelled flightation 
negative, awesome flight crew on ua re the plane the jurassic period called and they want their dinosaur plane back 
negative, in united is unable to look up flight reservation by passenger name at the yyz check in counter wow smh customerservice
negative, ticket refund request case id 
negative, been on the phone for over an hour with customer service and they can figure it out awesome service not 
negative, you really know how to piss people off your farelock option is fake 
negative, last week shanghai to sfo delay hrs bc of engine today sfo sea delay to sick pilot no compensation they do not care 
negative, only thing confusing me is why lost priority boarding m mileage plus card member 
negative, we re hoping to hear from you actually 
negative, shes been rescheduled for today but with the frigid cold being possible reason for maintenance it could be the same issue day
negative, it the fact that an international should not be with out her bag and no sense of what going on other than maintenance 
negative, i contacted you directly and the phone service was laissez faire at best the problem isn a cancelled flightled flight 
negative, she an international her phone is on the fritz had to get to chicago from nearly hrs away to figure everything out 
negative, sorry for the delayed response it was ua chicago to san fran held up for almost an hour on the tarmac also lost my bags
negative, okay thanks if you could please update me was told at the airport someone would call me today but they haven 
positive, thank you very much for the help we re do pick up my bags aspen airport amp are they coming in today on flight 
negative, gate iad released passengers to board others deplaning peopleon bridge while next flight board iyhi
negative, d say most of the public can extend their vacation week point is why advertise multiple flights you can honor 
negative, cancelled flights flt from ewr no crew tells wife amp yr old to get to ny to catch to yyz good customerservice is dead 
negative, now arriving day and half late flightr than supposed to lesson of the day don believe verbal or written confirmations from united
neutral, but you have received confirmation via email that you are confirmed and ticketed on this flight 
negative, arriving at the airport hours before departure time and still missing your flight bc you actually don have an electronic ticket
negative, hour delay nothing says sorry like voucher missing time with family family precioustime
neutral, after speaking to united customer service rep the night before flight confirming that everything is ok with your reservation 
negative, has two whole people trying to schedule flight worth of missed connections shameful kqlhvap g
negative, is unfriendly screw family that hates kids and moms now waiting on ua pray its better fyvrfn due to agent error and tickt
negative, gate agent at ewr if you are disabled or in wheel chair it time to board please step step up lol
negative, it won help been there done that 
negative, forces us to check our baby bag on overbooked flight complains to wife that we need to much for our baby united has no baby meals
positive, would love help getting there today in ewr now will take any airline and connections thx
negative, today take flight to san francisco refuse to let us board with baby early time we board wont let us take baby carryon bag
negative, we had four scheduled flights on this reservation and literally did not take one unreal
negative, in ord hotel issued to my yr old tickets needed fixing again another hour and agents r nightmare still not over
negative, hours to rebook but hours r the same problem again arrive at gate stopped cause now infant is sitting in yr old lap
negative, arrived in yyz to take our flight to taiwan reservation missing our ticket numbers slow agent sukhdeep caused us to miss our flt 
positive, thank you 
positive, thanks for the update 
negative, and those three people were awesome working very long hours it is easy to say sorry on twitter but you should help your ppl 
negative, guess but what is the excuse for understaffed costumer services people had to deal with lots of angry passengers weather too 
negative, now you have cancelled flightled my wife and daughter flt what going on follow me so can dm details 
negative, has it departed was awaiting an inbound plane yesterday for three hours and it never arrived had to stay overnight again 
neutral, unitedairlines any other way ord to abq anytime within the next hours 
positive, just confirmed seat crisis averted beers won be missed now
negative, was that english ll dm though don think you ll make plane appear 
negative, looks like today will be my th consecutive delayed flight from you do win prize air why don you fly to sba 
negative, sitting in plane with no pilot thanks waitingonapilot denver siouxfalls whyairtravelsucks
positive, understood and thanks should have tried reaching out sooner 
negative, already done that the answer got was oops we can give you miles and we re very sorry but who pays for my discomfort for 
negative, received hotel but no food also email for miles last trip had hr delay and miles so less for cancelled flightlation 
negative, do we know why ua is delayed this is getting crazy ve already had overnight delays unitedairlines
neutral, follow back and ll give you the details 
negative, and most frustratingly all this delay happened either at the gate or even onboard the aircraft no heads up in advance 
positive, the den agent am was amazing the mpagent at check in she sucks 
negative, my ua on was also delayed by hours stretching my trip way past the midnight extremely exhausting 
negative, ha you rebooked me in to an hr layover amp are robbing me of night with my family too late flight for that just fly on time for once 
negative, switched to fly united from delta for the past two trips and was very disappointed now my ua on is delayed by hours 
positive, traveling with who is injured gate agent in chicago was awesome helping her ty roadwarrior
negative, unitedairlines how long will be delayed 
negative, why isn the flight status updated to delayed ua no board
negative, paid for economy plus and you put me in the last boarding group so have to gate check my bags too knows better 
negative, travelled from scl iha feb the ac on my sit was on all night complaint to fa who never gave me real answer help 
negative, you suck hour delay 
negative, you are the worst airline in the world from your crap website to your worthless app to your late flight flight you suck just shut down 
neutral, scott need good book suggestion 
negative, jh thanks so much for reaching out was able to get assistance after waiting for minutes 
negative, is at stand still no pilot or paperwork for fix over mins problem was fixed mins ago flight is as is delayed 
neutral, please see dm 
negative, is it reasonable to wait mins for the bag you made me check because the flight staff couldn police the overhead bins 
negative, please msg me for customer service will have an invoice for my dry cleaning but won be able take wet clothes to the airport
negative, an hour delay because you can print piece of paper 
negative, still no response 
neutral, people mci to del preferably with jet airways ewr bru del segment anytime in december
negative, should have been able to get seat assign without paying more cust sec should have done that for me
negative, there is no reference number your agent told me to just drive to the airport because can reach anyone there to deliver 
negative, slightly better crew spent long time searching for better altitude would have helped to let pax in on why all the sharp drops 
negative, my credit card was charged on the transaction when was told it would not be if the charge goes through will be contacting you 
negative, my pqms and pqds are no longer showing up correctly in my mileageplus acct how can get this fixed 
positive, thanks 
negative, sfo to bos and no internet it is what gives 
negative, is the worst worst reservation policies worst costumer service worst worst worst congrats you re not that bad 
negative, am trying to make change reservations and getting extremely frustrated giving up and trying another airline 
negative, got email update but still no eta more communication details apology info on compensation rights would go long way
negative, late flight crew into btv last nite delayed todays flt will miss connection to cun why do have to play for hotel tonight in ewr 
negative, no they aren i just called to check worstcustomerservice
negative, passengers should have been rerouted to match the intended arrival time even if you have to incur cost to put us in other airlines 
positive, been solved they finally picked up the second time called thanks for the response jh to dulles works 
negative, need to work on your united flierfriendly program at the very least clue in your flight attendants 
negative, space doctors notes and everything and on my first trip they lost my first suitcase among other issues not pleased with united
negative, new flierfriendly is garbage just had to cry to get attendant to find place for my medical supplies with limited overhead
negative, epic fail no jetway been here mins on tarmac 
neutral, at the gate iad to rdu
negative, thanks for the link now finally arrived in brussels after schedule 
neutral, to operated er from newark to zurich replacing er between may sep instead till oct avgeek
negative, nd flight in two weeks that you have lost my bag taking my status to neveragain worstcustomerservice
neutral, hi what is the phone number for reservations in venezuela thanks
neutral, can request ticket change through twitter 
negative, ua flight was nightmare from poor customer service having my confirmed seat given away more issues
neutral, to start daily er flights from newark to milan malpensa replacing er on apr instead mar avgeek
neutral, to start daily er flights from newark to frankfurt replacing er on jul avgeek
positive, has the best customer experience via twitter huge fan 
neutral, thank you for your response 
negative, flight last night was bad business will be long time before recommend united to anyone 
negative, beyond frustrated sked change no seats earlier departure and double layover of course only seats are cust svc no help
negative, working with lisa at ord she working hard for us but this is still very disappointing was on to ewr 
positive, love the new st class breakfast 
negative, emailed the customer care via the website form after long wait rachelle resolved my issue but m still irritated united 
negative, flight cancelled flightled and the updated one gets me into bwi too late flight d be fine with dca or iad just arriving earlier help 
negative, so is the jj standing for just joking am not finding the humor 
neutral, left item the seatback on ua is there any way to call dca to ask if they have the item already submitted lost amp found report
negative, at this point made it home on my own 
neutral, dm child birthdate and full name 
positive, thanks for looking into this and for getting back to me via dm glad to hear my bag is finally being delivered to me thanks again 
negative, would like to talk to customer service agent about the service non service received on my last flight a week or so go j
negative, you cancelled flight my flight wait in line to get rebooked when m at the front you make me go to another gate and lose my place 
negative, it wasn a comment it was question but thanks for your copy and paste response
neutral, lisa is amazing the guy not so much 
negative, you failed me last week at iah next intl trip on delta small ual flight from lax booked that it 
negative, we were supposed to board at they just brought the plane from the hanger wtf did they not know there was flight lax ewr
positive, flew from sdf to atl to tampa on delta left early arrived early crew helpful wifi worked 
neutral, two years old birthdate 
negative, how about starting without the robotic response 
neutral, already did 
negative, you can control turbulence but you can control customer experience lot of scared people up here 
negative, currently on ua minutes of the worst turbulence ve ever experienced and zero communication from the flight deck 
negative, yes but it not looking the ticket agent at out terminal dismissed us and we missed chance at miami flight then to dr
negative, have been told twice my issue has been resolved and twice it has not been and when write an email it bounces worstservice
negative, flight lets go you look like clowns no one is giving up st class for 
neutral, what would it cost
negative, m on hold for the th time waiting for you to resolve and issue with flight for my year old son terribleservice noservice
positive, cool thank you 
neutral, ve got campus visit in an hour and m still wearing the same clothes 
neutral, adopting yr old child from ethiopia flying from add to grr on need to add child to reservation and get costs help thx
positive, d like to thank and recognize terri at dulles for going out of her way to get me back on my raleigh flight
negative, as freq flyer it makes me sad to see cust needing assistance treated so poorly servicefail
neutral, good morning any first class upgrades available for ua feb rsw to ewr need seats please
negative, day of this saga maybe they ll finally make it home intentional or not it not gonna get them back there vacation days badservice
negative, no thanks m sick of your company lousy excuse for customer service m never flying united again 
negative, current hold time after speaking to rep to have tix reissued is mins why so long amp why not make this option available online 
negative, understand ppl make mistakes but don code something in way that we can get reimbursed when it your fault just blatant lie
negative, also forgot add our bag is probably going to just sit in new jersey because of missed connection 
negative, jx t if you can out today would be great it our honeymoon and this delay you has put damper on iy
negative, not what been shared by the pilot with passengers 
negative, where is my receipt upgraded return leg and months late flightr still no receipt 
negative, how is it that book flight with reserved seat and then go to check in and find out have no seat wtf 
negative, they re not actually gate agent was so rude now standing in line waiting for reflight booking problems missed the only flight to sti awful 
negative, m not sure you can do anything as this has been building up over time other than promises from your ceo service has gotten worse 
negative, wi fi on aircraft didn work entire ord dca flight this morning
negative, cancelled flightled my direct flight newark brussels last night now hours behind schedule in eu compensation would be given but in us 
negative, you may dislike delays but paid you we had an agreement that paid you and you got me to my destination at certain time 
negative, epicfail on cx as flight from frankfurt to san francisco now going to chicago as flight crew out of hours due to de icing delay
neutral, dm sent as requested make sure you follow back so you can dm me back thanks
negative, m aware of the flight details thanks three hours late flight crew that could not give less of shit
neutral, please help mrj yw i
negative, making sure your flights aren delayed due to poor maintenance would be start 
negative, hilarious
negative, hahahahaha ya tried that already
neutral, why is my ktn not showing on my boarding why is tsa pre check not applying to my boarding pass 
negative, your bag may or may not be at the airport unfortunately no one at the airport is picking up the phone or responding to messages 
negative, funny paid to check my bag and now flight is begging folks to check bags for free hour before flight notcool
negative, nope not here you need little red stamp from the counter check yourself before you wreck yourself son prgysvurm
negative, wasn trying to cancelled flight just trying to change my award ticket same date and place but thanks for sending the link know the fee
negative, unhappy with your new mileage rules was my main reason to keep flying united will have to take my business elsewhere
negative, need assistance due to your incompetence need to reschedule connection will never fly again 
negative, you ve been officially displaced by for better flight experience pleasant cabin crew and timeliness ua switching 
neutral, sitting in the middle for the first time hope it works out well
negative, you need bag bouncer get it together
neutral, and learn how to book flights ruplv
negative, what is going on with united mileage program you pay for ticket and get fraction of that as pqd credit 
negative, you need to retrain your flight attendants saying there is no more room for carry ons when there actually is is not cool 
negative,ua was cancelled flightled not delayed re flight booking problems still miles from home at least acknowledge the cancelled flightlation 
negative, never ever again will be flight booking problems flight with united or any affiliate if there is chance to get on united flight
positive, was able to send the dm all good now 
negative, three delayed flights and missed connections on first class flights and not get any compensation for losing those seats 
negative, and after being on hold for an hour the day before to sort it out and being told it fine it should be fine when you arrive to fly
negative, it been almost weeks and still no word from dot on update of london fare to us cities any updates on your end 
neutral, thanks got it straightend out last night 
negative, well for start it would be nice if your ticket was actually in the system when you change flight
neutral, any chance flight is being delayed nervous about driving to dfw in this weather to drop off my brother
negative, another awful experience and victoria at the check in desk in stl could not have been more rude and condescending 
negative, no they did not want to deliver at my house had to go to sombrons else house
positive, have michelle at ord train your other staff on how to treat customers refreshing pleasure to deal with 
negative, guess you have to follow me in order for me to send you dm tried and it won send 
neutral, will definitely do so sending dm now 
negative, stopped flying yr ago bc of aggressive policy on carryon listening to pssngrs forced to chk notcomingback
negative, have sent message with bag tag have you looked 
neutral, group line gets longer every week almost no one left for groups anymore time to make explorer card group 
negative, just sent you message on facebook how do follow up complaint re missing clothing out of checked baggage 
negative, why do check in online if still have to wait in line for an hour to check in at counter fuckinlame 
negative, very poor customer service will think again befor flight booking problems another united flight 
negative, an over booked flight to start with and red eye from lax to bos with no reclining seat lastflightwithyouever
neutral, hi was thank you 
negative, an efficient layout at kiosks bag drop lines would help as there is no definition to space additional friendly and helpful staff
negative, of plane passengers boarding in your premier groups might be an indication of broken process 
neutral, any news about the departure of the flight ua 
positive, ewr agent barbara was fabulous and an example of cust serv pleasure talking to you e
negative, cancelled flightled flight cause the crew needed sleep but it totally okay to wake me up at am just to let me know it cancelled flightled again 
negative, changed my last name for my mileageplus acct on the site in an hour had me on hold for mins then days amp no change yet
negative, flight landed hours ago more flights cmh iad last night and still no bag could have driven it from cmh
neutral, someone should send note to the revenue management team and ask about all the open bf and gf seats on 
negative, do you have further update on the suitcase today please 
negative, literally sucks
positive, thanks for the upgrade today great way to start my week cc 
negative, maybe be hiring your own ground staff at lax when multiple gate agents tell you your baggage is loaded you expect it to be hopeless
neutral, basically need to leave from hawaii late flight evening midnight and get back to philly late flight monday night most trips get me in tues
negative, would encourage you to re interview the sole flight attendant on ual from buf to ord blatantly not stable uncomfortable 
negative, this is the second time my flights been cancelled flightled like really 
negative, really st flt frm iad iah is late flight amp going via nashville inconvenience downgraded but not on ticket
neutral, yes please going to drive the hours 
positive, am impressed with your super fast reply to 
positive, hi jp with the help of an awesome tsa representative was able to get it all taken care of thank you 
negative, first complaint filed on feb th over days now and still no response disappointed but not surprised 
negative, morning has been delayed by hours can you get me to newark for my am meeting 
negative, please stop spending mktg on branding ads use savings to improve cxp hr wait for luggage due to short staff is unacceptable
neutral, the child is two years old
negative, it am and wife still doesn have her luggage which was promised by pm and said to be on its way file number dca fail
negative, was trying to change flight online but got an error can you help via dm 
neutral, followed you and dm you
positive, the staff was rather efficient and got us solutions just freaked me out little being in limbo in the air 
negative, you are terrible 
neutral, united in snowy denver aakjumxa
negative, m glad you didn mean to but it doesn excuse your inefficiency only took min for the bags we were your only arrival flight
negative, attempted to book ticket times and kept getting error message hope you didn still charge me 
negative, but friendly efficient air attendants in coach ua pv kchnr
negative, coach interior on ua looked like it was salvaged from the tiny unusable video no power amp lifevests on the floor ua 
negative, now about two dozen back in line to see single csr for reflight booking problems final leg kiosks on fritz 
negative, on plane to newark now was checked in as rebecca levi my bag is under her name too 
neutral, can you help me add my ktn to this reservation plz 
negative, aaaand hours late flightr won be catching flight til am stuck in at airport in snowstorm with no hotel how that for patience 
neutral, whats ua lax newark 
negative, ual sucks
negative, not happening delta took care of us peace 
negative,but just re booked to bos uggh now hour bus to wmass home could have flown to bdl amp back to dc in same time unitedairlines
negative, you have now lost my bag never ever flying united again joke
negative, appreciate it but changing time by min multiple times hours before flight is just annoying and seems like you have clue
negative, missed ua connection due mechanical failure ua uplink prob will lose in clients mon how can you compensate 
neutral, you ll be hearing from me for sure 
negative, so you jacked out my cousins trip to portland and then cancelled flightled her return trip no more united
negative, yes did we headed out to de ice minutes after sent it to you made it to austin but am now waiting for the luggage 
neutral, in ethiopia adopting child need flight home from add to grr late flight or very early need to change existing reservation 
negative, after cancelled flighted flight and delays you lost my luggage again you re the worst disgraceful awful company horrible service 
negative, doesn help the or more passengers that just arrived an hour late flight 
negative, minutes on tarmac now that after hour delay 
negative, am very glad took care of own rescheduling now that ua from ogg was cancelled flightled owohd 
negative, tried filling out the status match form and got hit with an error message how can tell if it went through efz
negative, is flight going to sit on the tarmac forever 
negative, one of your workers refused to give me her name as reference for my notes her tone amp language was very unprofessional 
negative, that why blame your company because it had every opportunity to do job and managed to fail each time for just lazy reasons
positive, wanna be grand staff
negative, sf crew lack lot of customer service lax employees are lot better wonder why 
negative, that why missed my flight if the flight had been held for minutes would have made it watched it pull away from the gate
negative, also didn ice the frozen metal walkway wasted minutes because no one knew how to do simple jobs 
negative, your ground crew was inept and left truck sitting on the tarmac didn have gate agent once we got gate 
positive, wanna be ride united airline love airplane
negative, after days flight cancelled flightled another delay for hours united gave me food voucher that how much they value my time 
negative, checked me in through security under the wrong name and given the wrong boarding pass airlinesecurity
negative, what the hell flight delayed since pm finally boarded and now sitting on the tarmac is this amp amp cking plane ever leaving 
negative, actually the flight was just cancelled flightled oc hqez
negative, am loyal premier platinum member but the lack of communication was really bad also don see that it has taken off yet
negative, thanks for having changed me managed to arrive with only hours of delay and exhausted
negative, this is the nd time was rebooked delays and for reasons unrelate flightd to weather how do go about requesting flight voucher 
negative, if you consider mins for bags pm on sunday night as fast as they can you should reconsider what you think that means 
negative, it the horrible attitude from staff after not just the delay not the level of service or respect one expects from united
negative, why do you want me to be loyal if don let me carry on my bag that easily fits in overhead
neutral, ua flight sfo to lax took my carry on at gate m group overhead bins are empty
negative, on top of that paid for st class and my wife got stuck in coach 
negative, ph the pat answers are bs after was denied boarding it sat at the gate until your employees totally suck 
negative, over the last week united has provided me with the worst customer service experience of my life disgusting united
negative, hrs since flight landed and zero info on my missing bag rough eta would be hugely helpful restore some confidence
negative, big surprise nogate waiting for our plane same fucken issues everything fly you fail worstairlineever
negative, not to belabor my point but shouldn i be able to put laptop bag above my seat why is it announced to leave it for rollers thx
negative, maybemange the airline alittlebetter arrived at lax and no gate howisthatpossible always the same thing u
negative, just checked my united app and the most valuable use of this app has been removed can no longer see the status of my equipment 
negative, even after running to gate from your connecting flight your customer service not let us in the plane that was just parked stranded
negative, m desperately trying to understand how my girlfriend is being treated with this cancelled flightled delayed flight unacceptable ord
negative, nope no more chances your airline messed up both ways of our trip 
negative, why announce it is for rollers at all if want to put coat in there isn that my choice how about all gate checked thx
positive, you re my early frontrunner for best airline oscars 
negative, bags left behind because plane overweight be great if knew as soon as we landed instead letting us wait minutes with no info 
negative, you are f amp king joke your customer service is woeful if your staff tell passenger that they will do something do it 
negative, was sponsor of the oscars no wonder it was half hour delayed oscars
positive, worked like charm bag was waiting on the carousel when we got to baggage claim welldone goodflight friendlysky
negative, will lose my bag but won give me free pretzels frauds
negative, you are trying to charge me bucks because you lowered your award tickets and want to get my hard earn points back total bs
negative, does asap mean two hours worth of delay and return to the terminal to count the luggage third time gottogetbetter
negative, apart from being on hold for over hours and having talked to people and the problem still not resolved 
negative, typical caned response from ua fix your crappy performing last placed ranked airline in this century 
negative, is it even legal for you guys to advertise flights that you cant honor 
negative, customer service is the worst hanging up on customers intentionally after one hour on hold 
negative, was forced to book flight on different date than originally planned for higher price felt like bait and switch tactic
negative, love how you don give shit about people who tried to be loyal but you screw them every way till sunday glad ve stayed away
negative, tried different flight iah mnl flights are advertised for but are not bookable due to partner error 
negative, it will be on different airline 
negative, and was told that its been the case for weeks but is still not resolved 
negative, clicked upgrade now and it didn upgrade what gives osjz 
negative, you advertise the flight and its still on you website and still can be book spent over hours with united support
negative, tried to book flight iah mnl departing returning you are advertising flights for that can be book 
neutral, just booked flight for when view my reservation it has mi connected to first name is this problem can it be changed 
negative, quick serious question any resources ratings showing the quality of service is better than th place 
neutral, how do get through to finally board ua 
negative, yes have and was calling in regards to speaking to someone about it even further but unfortunately was just bounced around 
negative, flight from ord couldn let me know about this found out via app minutes before landing awful flight vz 
negative, need help but in spanish
negative, very disappointing experience plane mech delay and next one didn wait no sincere apology just told me to complain online
negative, lost my sunglasses on the flight from okc to iah this morning am takeoff is there any way to retrieve them 
neutral, with the exception of everything you ve asked for heh
negative, ua denver to austin still on the ground 
negative, either your staff or whoever you contract with at pvd is failing you big time tonight 
neutral, ua just landed 
negative, considering it currently gold on why should make the jump for an upcoming flight from sfo to singapore 
neutral, flight 
negative, worst flights ve ever had ground crew ignored our plane made me miss flight and now have to cover the cost of hotel den
negative, customers aren dumb these revenue based programs will hurt everyone not gonna save money like you think
negative, it was me who had the problem won flight ua called and rebooked myself found my own hotel and taxi
positive, will do thanks for the help cheers
negative, bull crap spent on recent trip that not small change got aa miles would have only been ua
negative, yes did terrible service from your courrier
negative, compensate us for new clothes bet you won t
positive, have flights with you in the next two weeks let make some good memories 
negative, we re stuck at ogg looks like flight will be cancelled flightled can you help 
negative, yea they been booked on next avalible flights since sat am and when time comes no plane nd day of work missed hotelliving
negative, currently crying wanted to ski tomorrow but prolly not just boy tryna fulfill his dreams
negative, tried the online tracking and they said something like attempting to locate luggage 
negative, your worker told us not to call because we be talking to someone in thailand 
negative, going on days tomorrow and still haven received my bag from my flight to toronto would love to see some seriousness here 
negative, is there nothing you can do for me no compensation at all given the circumstances feel like there must be something you can do
negative, there is disconnect between your pr group and the actual business strategy and employee attitude on the ground liars united
negative, here we go again of segments sfo new york rt were delayed over hrs each why do you suck so bad maybe another line of bus 
negative, you really screwed up dealing mechanical failure from maui to san francisco poor communication bad help in getting connections
negative, if you don like delayed bags why do you let it happen so much 
negative, the delay is due to customer service for people what about the dis service you provided for flightfail hour delay
positive, he is so excellent and so reliable happycustomer
negative, but again united doesnt give shits about their customers
negative, its funny how none of ur tweets back are helpful what want is to read ya we ll change that so our customers get better service 
neutral, she is travelling from melbourne australia to bogota colombia tomorrow
neutral, hi my relative flight booking problems number is my yb her name is clarita jaramillo mejia thank you
positive, it was delivered thank you for making sure it arrived at my doorstep 
negative, really needs to get its act together really disappointed in our change of flight delayed flights etc 
negative, rebooked to oma miles from my destination spotty customer service get staff stressors but come on this is your business 
neutral, why have airlines always told us they can open cabin door once it has been closed this plane has done it times tonight 
positive, looking for reason to travel quote z 
negative, can find any late flight evening flights are there other airports that would have an overnight flight 
negative, thanks for the vague canned response that doesn address the issue 
positive, thank you 
negative, that not good enough for all of us affected by the awful organization and timing and have now been set back
negative, otis in the baggage claim by bay not at all happy but not nearly as pissed 
negative, why is my time less important to you strandusindenver hourandtenminutedelay flightfail
negative, airlines you kidding bagage lost this morning from ny to washington and still no trace badservice
negative, did it took about an hour and half though
negative, why have you never held plane for me hourdelay multipledooropeningandclosing dangerofgettingsnowedin
negative, did but got nothing from it just dissapointment 
negative, where is my fucking bag where the fuck is my fucking bag tell me now or give me number to call human san m
positive, was sincerely thanking the pilot of flight of braving the snow and getting me home amongst many other cancelled flightlations 
negative, made to the gate at and they wouldn let us on 
negative, time to give up my status and switch to you are so terrible can even describe 
positive, thanks lol ua will wait for us per same tail number as ua 
negative, you suck flight delayed equipment probs again miss connection by minutes and you won let us on even though it at the gate 
negative, now going in min waiting for other plane to vacate gate findanothergate
negative, flight is hrs delayed so far c of late flight crew now we are literally waiting while they have dinner acc to honest gate agent 
negative, many people on ua are going to miss connections due to long wait time in sfo tarmac seriously can find an empty gate 
negative, you re trying to solve problem of your own making charging for checked luggage forces checking at gate brilliant 
negative, we ve been waiting min for gate at sfo yet so many of them are free your excellence in operational efficiency is showing
negative, delayed due to customer service huh st 
negative, what about the poor customer service at checkin at kansas kci that it 
negative, except all of that delayed the flight anyway 
negative, maybe find different gate ua 
negative, sent message it very irresponsible that my suitcase cannot be found this is truly worst service ever fedup disastrous
negative, landed in den on time stuck waiting for gate for min maybe an update would be good idea capt 
negative, wanted to point out that not one united crew has been sympathetic questions unanswered mileageplus is starting to look like joke
negative, can we get an explanation on why ua from são paulo to houston has been delayed now we re hearing from crew about cancelled flightlations 
negative, why was flight ewr to mco cancelled flightled for tomorrow and what do do to rebook asking for relative 
neutral, can you tell me jet airways award availability 
negative, understand the intent was not to inconvenience but catching cab back to the airport to show them wet clothes wasn an option 
neutral, what are the chances of my flight to ewr from pit being cancelled flighted tomorrow 
neutral, rcvd promo if booked flight silver status would be extended it was not dont have flier that was sent didnt think id need
negative, wife landed in dc hrs ago luggage did not was told it would delivered hotel by pm it now pm no luggage ua 
neutral, on flight at tomorrow 
negative, not sure why the people in row that paid for premium seat can use their overhead space kihge
negative, is so cheap they couldn afford to run the ac on ua they took pressure cooker to new level cheap worstairline
negative, why is it that sundays when my husband travels to chicago he stuck at tarmac amp misses connecting flight always
negative, well can tell you that your customer service at rdu airport is horrific but is exception at hare in chicago 
negative, sitting on ual comedy of errors ual is incompetent
negative, on ua tonight and told delayed due to late flight crew no idea where crew coming from your staff unhelpful any ideas 
negative, take look at status of sitting at ord this ain cool yo 
positive, bummer but thank you for the quick response
negative, didn have time to take my wet clothes suit back to the airport and wasn going to pay for another cab to do so 
negative, didn realize my bag contents were wet until got to my hotel sent my suit shirts out to be dry cleaned mtgs start tomorrow 
negative, you load our plane at ord knowing pilots are hrs late flight then discover plane needs to be fueled wtf united incompetent
negative, resolved and im sick and tired of waiting on you want my refund and d like to speak to someone about it 
negative, m really glad just waited on the phone for over an hour to be sent to voicemail your customer service sucks nothing has been
negative, you just caused riot on the airplane never seen anything like this
negative, instead of sending inaccurate emails about delay every min just say we will get you there when we get you there 
negative, so glad ve been waiting for hour and minutes and ive been transferred times without resolving anything worst service ever 
negative, we still need help hung up on twice customer service rep said there is no way to help between the gate rep and phone rep 
positive, they let us know in advance of the reboot yes thanks for the attentiveness 
negative, lol too little too late flight
negative, yes bags came hr after arrived at baggage claim awful experience on the ground at bhm
negative, your delay is due to your own making we have now been back to the gate multiple times maybe take accountability
negative, why do have to give up my leg room so these people not in my row can fill the bin pls start charging ny tuxfqf
negative, please tell clt flight needs gate waiting now for mins 
negative, why did you load us in this flying sardine can if you knew the pilots were hours late flight incompetent beyond belief
neutral, booked ewr fll in first for two on let see how you compare to the garbage first class has become
negative, your seats are god awful 
negative, good try but got her here safer and sooner
positive, wanted to compliment ur phone agent jeanette for reflight booking problems rdu to sea thru sfo after connecting flight thru ewr was cancelled flightled 
negative, hour min delay so far would love to round to hours to just go to bed 
neutral, educate bohol is c all volunteer staff can help the kids or buy plane ticket can do both can you help 
neutral, need to get from albuquerque nm usa to cebu philippines m providing educational help for kids can you help me 
negative, m on ua and my direct tv isn working how do avoid this in future 
negative, is truly the drunk uncle of boarding don believe gate agent that overhead is full don reserve aisle ak
